[+] Containers:
 |- [+] Container: /Game/Sub-Games/Roller/Maps/Roller_Level04
 |   |- [+] ActorDescs:
 |   |   |- Guid:0006AB34499ADDF1AD44E08E7E6A8413 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_74563CB1B868C10D02_1836489266 Label:Box_35D8A495 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-0.000 Y=-1420.000 Z=2270.000), Max=(X=1000.000 Y=-420.000 Z=2370.000) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:BA95105E432A52C20F1FD38AFDEA4A57
 |   |   |- Guid:015FE4E04CB272F36B49CA820CF95F04 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_74563CB1B868BB0D02_2003619154 Label:Box72 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=990.000 Y=-1420.000 Z=2365.000), Max=(X=990.000 Y=-420.000 Z=3365.000) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:BA95105E432A52C20F1FD38AFDEA4A57
 |   |   |- Guid:08D7830243867E99B73AA79F28E3E3B0 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_74563CB1B868BB0D02_1893352144 Label:Box62 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-2010.000 Y=-1420.000 Z=2365.000), Max=(X=-1010.000 Y=-1420.000 Z=3365.000) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:BA95105E432A52C20F1FD38AFDEA4A57
 |   |   |- Guid:119D7740460184558402988E8199144E BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_74563CB1B868C10D02_1656659251 Label:Box_35D8A489 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-0.000 Y=580.000 Z=2270.000), Max=(X=1000.000 Y=1580.000 Z=2370.000) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:BA95105E432A52C20F1FD38AFDEA4A57
 |   |   |- Guid:1495866945FD50CA3A774FB873F3D3F4 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_74563CB1B868B5FE01_1781109256 Label:Box49 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-2010.000 Y=-1420.000 Z=4365.000), Max=(X=-1010.000 Y=-420.000 Z=4365.000) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:BA95105E432A52C20F1FD38AFDEA4A57
 |   |   |- Guid:15DF212843DB794DBF0F82BB15B11DAE BaseClass:/Game/Sub-Games/Roller/Blueprints/BP_PlayerCamera.BP_PlayerCamera_C NativeClass:/Script/Engine.Actor Name:BP_PlayerCamera_C_UAID_74563CB1B868B5FE01_1824548261 Label:BP_PlayerCamera SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-5080.000 Y=50.000 Z=2872.000), Max=(X=-5080.000 Y=50.000 Z=2872.000) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0
 |   |   |- Guid:17CF1BD2449FA775D76F20933F086788 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_74563CB1B868C10D02_1836492269 Label:Box_35D8A498 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-2000.000 Y=-1420.000 Z=3370.000), Max=(X=-1000.000 Y=-420.000 Z=3470.000) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:BA95105E432A52C20F1FD38AFDEA4A57
 |   |   |- Guid:1AA6C9C147245C2AE5AFDD86CF359E66 BaseClass: NativeClass:/Script/Engine.PlayerStart Name:PlayerStart_UAID_F02F74551BF5599B01_1153002503 Label:PlayerStart SpatiallyLoaded:0 Bounds:IsValid=true, Min=(X=-540.000 Y=40.000 Z=2780.000), Max=(X=-460.000 Y=120.000 Z=2964.000) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0
 |   |   |- Guid:1E13F4F64D99F077A433E0A1E07A2233 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_74563CB1B868B5FE01_1781109255 Label:Box48 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-2010.000 Y=-420.000 Z=4365.000), Max=(X=-1010.000 Y=580.000 Z=4365.000) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:BA95105E432A52C20F1FD38AFDEA4A57
 |   |   |- Guid:205A6BF447DC107EC9C7A381E97CCAB9 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_74563CB1B868BB0D02_1896728147 Label:Box65 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-2010.000 Y=-1420.000 Z=1365.000), Max=(X=-1010.000 Y=-1420.000 Z=2365.000) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:BA95105E432A52C20F1FD38AFDEA4A57
 |   |   |- Guid:294E201542E58114607A7094F3D4C2A6 BaseClass:/Game/Sub-Games/Roller/Blueprints/BP_Target.BP_Target_C NativeClass:/Script/Engine.Actor Name:BP_Target_C_UAID_74563CB1B868C10D02_1627600249 Label:BP_Target9 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-9.128 Y=1578.800 Z=2365.038), Max=(X=990.872 Y=1581.200 Z=3365.038) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:BA95105E432A52C20F1FD38AFDEA4A57
